type	race	ind	gerpa	gerpr
LR	BU	LR.BU.15	1333.6866893168	443.134152617354
LR	BU	LR.BU.16	1324.67174564558	448.970913387586
LR	BU	LR.BU.17	1328.3484539868	425.412687097878
LR	BU	LR.BU.18	1324.05739981255	437.619624566366
LR	BU	LR.BU.19	1325.28103300209	469.566233312738
LR	BU	LR.BU.20	1326.71684152089	365.358267271784
LR	BU	LR.BU.21	1317.59993709688	501.068744678744
LR	BU	LR.BU.22	1305.81322062313	449.680010347955
LR	BU	LR.BU.01	1434.98365938359	439.643436484156
LR	BU	LR.BU.02	1466.58973385343	421.457176799898
LR	BU	LR.BU.03	1425.16600004255	459.030776590121
LR	BU	LR.BU.04	1452.05687227496	477.311599976219
LR	BU	LR.BU.05	1423.91035523007	454.70827301637
LR	BU	LR.BU.06	1397.71969049072	397.041764818865
LR	BU	LR.BU.07	1367.7261375491	517.68052871207
LR	BU	LR.BU.08	1417.07725370056	437.243793215942
LR	BU	LR.BU.09	1457.13598042533	599.463148889757
LR	BU	LR.BU.10	1399.51391681139	394.908659419247
LR	BU	LR.BU.11	1400.93318452361	435.639765200475
LR	BU	LR.BU.12	1438.92163179354	551.690693015765
LR	BU	LR.BU.13	1402.45304238122	468.839869828412
LR	BU	LR.BU.14	1393.56396441053	392.503349699166
LR	BU	LR.BU.15	1464.69068667871	459.669660756552
LR	BU	LR.BU.16	1439.9926092086	438.442974293045
LR	BU	LR.BU.17	1397.61277927678	398.537704582225
LR	BU	LR.BU.18	1445.16740814822	451.392328481882
LR	BU	LR.BU.19	1456.92883021199	481.771770401698
LR	BU	LR.BU.20	1465.7885992175	448.842661860781
LR	BU	LR.BU.21	1425.1163102081	463.459047398161
LR	BU	LR.BU.22	1417.13932129804	447.808678453748
LR	BU	LR.BU.01	1573.48701420701	502.567034713862
LR	BU	LR.BU.02	1569.8136428427	490.478382782552
LR	BU	LR.BU.03	1523.95057771124	590.462430786205
LR	BU	LR.BU.04	1562.0647045082	535.605732466302
LR	BU	LR.BU.05	1591.92106584165	490.929283860652
LR	BU	LR.BU.06	1645.96766811192	574.349959609422
LR	BU	LR.BU.07	1541.90679351403	459.345343124566
LR	BU	LR.BU.08	1584.31847625098	504.150589195793
LR	BU	LR.BU.09	1579.01433119576	548.24960755604
LR	BU	LR.BU.10	1617.78635696408	521.875291629441
LR	BU	LR.BU.11	1530.23384645266	478.283963660853
LR	BU	LR.BU.12	1603.01866098069	502.582800796005
LR	BU	LR.BU.13	1593.59804735914	583.402089801936
LR	BU	LR.BU.14	1639.37945446796	584.046950804874
LR	BU	LR.BU.15	1596.52225944619	482.468709943592
LR	BU	LR.BU.16	1581.2050221536	548.684328747459
LR	BU	LR.BU.17	1616.61834530741	524.341279972773
LR	BU	LR.BU.18	1540.10459190685	496.325065912074
LR	BU	LR.BU.19	1555.34114984901	534.521308836043
LR	BU	LR.BU.20	1562.27251994549	537.256454733634
LR	BU	LR.BU.21	1611.61385836084	583.685572683164
LR	BU	LR.BU.22	1598.24853073246	493.537596171446
LR	BU	LR.BU.01	1185.9439525972	409.298969707623
LR	BU	LR.BU.02	1226.08379199103	516.018008178569
LR	BU	LR.BU.03	1186.22030651882	397.002306998618
LR	BU	LR.BU.04	1148.819801064	365.071285684109
LR	BU	LR.BU.05	1162.9908065994	384.732110672929
LR	BU	LR.BU.06	1228.1873052289	408.402189457372
LR	BU	LR.BU.07	1213.20595393995	414.713455196474
LR	BU	LR.BU.08	1194.83947648265	385.584796732584
LR	BU	LR.BU.09	1216.45573071128	381.007113338052
LR	BU	LR.BU.10	1134.26437807473	361.427636046531
LR	BU	LR.BU.11	1162.38524772638	378.667689383495
LR	BU	LR.BU.12	1222.52767762466	445.971737839285
LR	BU	LR.BU.13	1191.45565181124	426.979167341698
LR	BU	LR.BU.14	1218.3333232409	401.786309862206
LR	BU	LR.BU.15	1171.46462868278	418.038714405924
LR	BU	LR.BU.16	1131.96176954312	321.720740912925
LR	BU	LR.BU.17	1134.54040703765	361.156663669858
LR	BU	LR.BU.18	1210.57453906229	447.943966953561
LR	BU	LR.BU.19	1138.96628294773	363.677693870961
LR	BU	LR.BU.20	1221.79313015733	472.337545188361
LR	BU	LR.BU.21	1181.84738003046	458.822307368404
LR	BU	LR.BU.22	1214.32901468464	491.708426626449
LR	BU	LR.BU.01	1079.21011224374	320.311018321935
LR	BU	LR.BU.02	1055.14446670833	330.014305358816
LR	BU	LR.BU.03	1059.83807341112	318.49950274758
LR	BU	LR.BU.04	1037.52111801956	481.049815049252
LR	BU	LR.BU.05	1082.62828909225	317.718090617518
LR	BU	LR.BU.06	1086.0864367947	310.847063557775
LR	BU	LR.BU.07	1060.08093009352	309.924850886498
LR	BU	LR.BU.08	1082.2750997378	331.862738819009
LR	BU	LR.BU.09	1106.72783427862	389.531782956445
LR	BU	LR.BU.10	1122.28307821972	356.334115216676
LR	BU	LR.BU.11	1104.44917913191	381.574097255242
LR	BU	LR.BU.12	1099.33334252108	371.05288745236
LR	BU	LR.BU.13	1067.31600096856	292.181997021499
LR	BU	LR.BU.14	1095.62003073807	315.069673519278
LR	BU	LR.BU.15	1058.09918797636	319.538843524815
LR	BU	LR.BU.16	1069.84599470422	367.567754057077
LR	BU	LR.BU.17	1114.42221866318	352.763079687875
LR	BU	LR.BU.18	1114.24521541432	359.466174457195
LR	BU	LR.BU.19	1036.72208655616	482.212116344883
LR	BU	LR.BU.20	1071.81432131046	334.398717171015
LR	BU	LR.BU.21	1097.95153650279	425.776279156283
LR	BU	LR.BU.22	1108.2655162006	337.54962434936
LR	GB	LR.GB.01	2940.29556815374	1152.86510323169
LR	GB	LR.GB.02	3006.52661714439	1205.8034342762
LR	GB	LR.GB.03	2999.45756920475	980.368728185731
LR	GB	LR.GB.04	2946.34987465545	1048.90761135142
LR	GB	LR.GB.05	2923.43448865131	1016.75066049558
LR	GB	LR.GB.06	3026.93837688696	1011.17863791994
LR	GB	LR.GB.07	2874.76335334732	1053.02204920371
LR	GB	LR.GB.08	3029.65666372291	1292.98482723171
LR	GB	LR.GB.09	2913.61824904487	1009.6151281344
LR	GB	LR.GB.10	2971.52154787147	1086.69928195314
LR	GB	LR.GB.11	2939.87745785053	982.39930182386
LR	GB	LR.GB.12	3010.31680190317	1068.14827308075
LR	GB	LR.GB.13	2974.89163020091	972.648732666943
LR	GB	LR.GB.14	2987.29776949242	1087.87443587731
LR	GB	LR.GB.15	2914.5775598682	969.435763434601
LR	GB	LR.GB.16	3031.60686076537	1024.3386432803
LR	GB	LR.GB.17	3026.11022372645	1122.56128259029
LR	GB	LR.GB.18	2869.36045311084	953.009727216126
LR	GB	LR.GB.19	3010.80459589206	1056.57102062583
LR	GB	LR.GB.20	3046.0654232816	1045.25088173058
LR	GB	LR.GB.21	2971.15651043008	1003.67991107953
LR	GB	LR.GB.22	2974.06114144837	1051.30906896451
LR	GB	LR.GB.23	2998.15855244012	1062.94657908319
LR	GB	LR.GB.24	2943.96537423662	1011.79439435416
LR	GB	LR.GB.25	2988.73975353507	1101.79228613389
LR	GB	LR.GB.26	3023.9098627943	1075.25511153716
LR	GB	LR.GB.27	2987.03964039803	969.769348763196
LR	GB	LR.GB.28	2977.08177984718	1029.40695439657
LR	GB	LR.GB.29	2982.79472123846	1062.2309846156
LR	GB	LR.GB.30	2958.40271629056	1062.76699324964
LR	GB	LR.GB.31	2973.93783960924	1131.09023056929
LR	GB	LR.GB.32	3008.91870193468	1043.48525541825
LR	GB	LR.GB.33	2951.87282498324	1054.99056914237
LR	GB	LR.GB.34	2929.48799340339	1013.4322124912
LR	GB	LR.GB.35	2931.97372090023	1036.06486690745
LR	GB	LR.GB.36	2990.91218281058	1013.43609882365
LR	GB	LR.GB.37	2929.47939379124	779.823670803861
LR	GB	LR.GB.38	2987.26267042997	1053.58978730562
LR	GB	LR.GB.39	3019.31950732996	1113.60189888832
LR	GB	LR.GB.40	3062.28812521631	1039.90841912794
LR	GB	LR.GB.41	2936.46775077468	1005.31377305524
LR	GB	LR.GB.42	3024.03977015484	1045.28396418786
LR	GB	LR.GB.43	2989.12525522112	1052.59785766452
LR	GB	LR.GB.44	2992.41913046341	1048.76879575799
LR	GB	LR.GB.45	2931.60730662291	1018.90289969873
LR	GB	LR.GB.46	2947.20178457931	982.708739589676
LR	GB	LR.GB.01	1955.91442820651	700.16410732357
LR	GB	LR.GB.02	1999.66467560414	737.330940746593
LR	GB	LR.GB.03	1997.72046888975	723.265412406838
LR	GB	LR.GB.04	1985.94728117131	665.651436344142
LR	GB	LR.GB.05	1940.99344733435	682.50384405945
LR	GB	LR.GB.06	2016.96034105056	720.254305716501
LR	GB	LR.GB.07	1994.67209940516	706.19187543376
LR	GB	LR.GB.08	1991.80851179593	748.380270004604
LR	GB	LR.GB.09	1968.32701553656	695.471231464292
LR	GB	LR.GB.10	1992.66177212735	685.684513797593
LR	GB	LR.GB.11	1997.00725909445	683.446763436543
LR	GB	LR.GB.12	2017.91154983294	727.434389692526
LR	GB	LR.GB.13	1989.46590522212	643.465896036823
LR	GB	LR.GB.14	2037.74501676534	721.816993866044
LR	GB	LR.GB.15	1941.04106580792	693.416663271957
LR	GB	LR.GB.16	2017.54731133523	703.717996133977
LR	GB	LR.GB.17	1976.33705323688	670.259412875909
LR	GB	LR.GB.18	1979.90990157934	617.701831130739
LR	GB	LR.GB.19	2006.35811903577	741.066465434209
LR	GB	LR.GB.20	1979.32789159133	734.996552633582
LR	GB	LR.GB.21	1961.14507829746	631.046940818849
LR	GB	LR.GB.22	1958.78882863887	665.198832131721
LR	GB	LR.GB.23	1961.43402248009	664.354206705482
LR	GB	LR.GB.24	1975.2645522378	642.671110896417
LR	GB	LR.GB.25	1893.03311440669	653.220548426927
LR	GB	LR.GB.26	1950.78777934605	610.653304967575
LR	GB	LR.GB.27	1987.00139012433	728.542194147281
LR	GB	LR.GB.28	2006.10998471406	733.391166905588
LR	GB	LR.GB.29	1949.38346665018	726.469444209336
LR	GB	LR.GB.30	2002.88443265078	709.450357066971
LR	GB	LR.GB.31	1991.26863344196	701.152249216025
LR	GB	LR.GB.32	1950.50242193748	650.694128325133
LR	GB	LR.GB.33	2032.79450873002	685.243077349416
LR	GB	LR.GB.34	1961.68602986021	705.841234261653
LR	GB	LR.GB.35	1985.87657018539	726.391047406732
LR	GB	LR.GB.36	1985.24650899792	685.377452406164
LR	GB	LR.GB.37	1979.4742806983	522.693365188616
LR	GB	LR.GB.38	1952.0740673823	646.427142661767
LR	GB	LR.GB.39	1988.94950746557	620.509601790847
LR	GB	LR.GB.40	1911.94349035226	640.103754544799
LR	GB	LR.GB.41	1990.99810672836	657.521746990202
LR	GB	LR.GB.42	2020.23284728597	688.172421534479
LR	GB	LR.GB.43	1957.60322834654	690.751863026268
LR	GB	LR.GB.44	1924.86780579308	632.699118214265
LR	GB	LR.GB.45	1934.00936061492	646.304856799808
LR	GB	LR.GB.46	1958.26060589366	684.840396372495
LR	GB	LR.GB.01	1908.87313702247	766.232349409889
LR	GB	LR.GB.02	1926.74356553947	720.265126231386
LR	GB	LR.GB.03	1963.05146108431	734.855939985752
LR	GB	LR.GB.04	1920.6360065477	724.379253500438
LR	GB	LR.GB.05	1953.07110574931	702.242407361105
LR	GB	LR.GB.06	1949.45402319493	701.167968858243
LR	GB	LR.GB.07	1946.92904064052	725.249911020039
LR	GB	LR.GB.08	1968.72418056293	773.29230986275
LR	GB	LR.GB.09	1965.09770867011	712.582983381626
LR	GB	LR.GB.10	1946.23774659888	714.08377647521
LR	GB	LR.GB.11	1964.6367631085	723.03410985792
LR	GB	LR.GB.12	1962.40231786274	700.526623127891
LR	GB	LR.GB.13	1964.85204530176	703.601977296914
LR	GB	LR.GB.14	1956.57683148653	724.152833561328
LR	GB	LR.GB.15	1950.18506445309	710.803154404463
LR	GB	LR.GB.16	1978.42129561081	690.307092083621
LR	GB	LR.GB.17	1879.94840180634	790.743423583226
LR	GB	LR.GB.18	1930.685878147	683.282506389108
LR	GB	LR.GB.19	1910.23669527189	676.543322441425
LR	GB	LR.GB.20	1939.35200973075	722.325278928579
LR	GB	LR.GB.21	1943.97469956864	698.777433243087
LR	GB	LR.GB.22	1976.87061216362	742.421590634805
LR	GB	LR.GB.23	2017.24962658732	769.229051529053
LR	GB	LR.GB.24	1995.20700629808	703.864426097612
LR	GB	LR.GB.25	1902.64507069138	675.690098709556
LR	GB	LR.GB.26	1938.00284090884	674.908720230125
LR	GB	LR.GB.27	1916.06299363789	718.940997937723
LR	GB	LR.GB.28	1944.67828353784	684.142497908359
LR	GB	LR.GB.29	1943.16778346284	680.680511133106
LR	GB	LR.GB.30	1904.36932804451	690.080559820942
LR	GB	LR.GB.31	1949.72329612538	716.044172068541
LR	GB	LR.GB.32	1962.21399095357	692.00381072883
LR	GB	LR.GB.33	1938.49632684217	600.402125477093
LR	GB	LR.GB.34	1966.15577877266	694.768159974855
LR	GB	LR.GB.35	1918.79903208816	665.31665378866
LR	GB	LR.GB.36	1964.55625296912	722.653535659483
LR	GB	LR.GB.37	1878.6400419695	564.354603189111
LR	GB	LR.GB.38	1913.28194112236	688.982728098447
LR	GB	LR.GB.39	1944.60208383968	606.746544148986
LR	GB	LR.GB.40	1956.56481138223	714.268420630167
LR	GB	LR.GB.41	1954.74348002155	689.716443459058
LR	GB	LR.GB.42	1989.17718627678	683.88047958141
LR	GB	LR.GB.43	1919.89246519682	729.093948539873
LR	GB	LR.GB.44	1947.08779679604	677.020904544082
LR	GB	LR.GB.45	2005.47340092071	779.260689613194
LR	GB	LR.GB.46	1908.89924775488	667.668730897477
LR	GB	LR.GB.01	1798.4772526004	716.032825150142
LR	GB	LR.GB.02	1797.09911122584	620.314347875998
LR	GB	LR.GB.03	1789.75394239983	631.642404072461
LR	GB	LR.GB.04	1781.76271233156	658.316681049445
LR	GB	LR.GB.05	1793.91148005564	628.438223388461
LR	GB	LR.GB.06	1801.89383157496	570.662789081672
LR	GB	LR.GB.07	1774.81718567708	778.543215558877
LR	GB	LR.GB.08	1812.29051428017	822.776817006795
LR	GB	LR.GB.09	1794.89572977484	601.410390773948
LR	GB	LR.GB.10	1812.96353860693	628.124915983422
LR	GB	LR.GB.11	1844.8510670017	598.22480927346
LR	GB	LR.GB.12	1815.83974539403	625.874485790062
LR	GB	LR.GB.13	1814.81395437706	676.943750852214
LR	GB	LR.GB.14	1835.33811563677	605.244800311832
LR	GB	LR.GB.15	1818.33107563024	638.980276084184
LR	GB	LR.GB.16	1855.47695443881	627.440232704961
LR	GB	LR.GB.17	1807.76327182993	641.215858822747
LR	GB	LR.GB.18	1786.17662699261	661.230532508423
LR	GB	LR.GB.19	1811.42305784827	674.917772053941
LR	GB	LR.GB.20	1839.74401933124	629.565870209908
LR	GB	LR.GB.21	1805.91670011421	656.572613062794
LR	GB	LR.GB.22	1836.39591339323	638.35213581536
LR	GB	LR.GB.23	1800.95818705836	670.830037533157
LR	GB	LR.GB.24	1818.49579314302	631.522422429297
LR	GB	LR.GB.25	1733.34907846497	531.674862395658
LR	GB	LR.GB.26	1801.533437061	660.538952171489
LR	GB	LR.GB.27	1751.00730772491	608.263674621841
LR	GB	LR.GB.28	1812.85915357118	655.606896565586
LR	GB	LR.GB.29	1792.35142963056	608.185072014994
LR	GB	LR.GB.30	1779.49115091834	623.354181782891
LR	GB	LR.GB.31	1769.65578814295	590.542002216871
LR	GB	LR.GB.32	1849.48687592518	659.042393068679
LR	GB	LR.GB.33	1800.36456612453	634.350836586799
LR	GB	LR.GB.34	1761.14268027712	555.543908096204
LR	GB	LR.GB.35	1787.29755367681	643.665615439036
LR	GB	LR.GB.36	1822.13525985852	593.401685440339
LR	GB	LR.GB.37	1833.40834028716	510.472573651299
LR	GB	LR.GB.38	1790.14825358166	614.881527075687
LR	GB	LR.GB.39	1807.74849406352	582.361709917916
LR	GB	LR.GB.40	1791.33795045921	646.519761458274
LR	GB	LR.GB.41	1812.22321586107	667.712650926751
LR	GB	LR.GB.42	1824.82191031843	673.320646819612
LR	GB	LR.GB.43	1833.48338205804	688.764385904034
LR	GB	LR.GB.44	1860.48219367966	626.739119118951
LR	GB	LR.GB.45	1861.10810513179	686.195891698148
LR	GB	LR.GB.46	1826.06474114803	615.646800497863
LR	GB	LR.GB.01	1849.05682304065	699.023006343029
LR	GB	LR.GB.02	1904.00133183347	744.542946301764
LR	GB	LR.GB.03	1896.99830383883	663.526582988119
LR	GB	LR.GB.04	1894.9736867839	662.804287141106
LR	GB	LR.GB.05	1856.67154761005	659.246280325402
LR	GB	LR.GB.06	1888.04580658904	702.1508294113
LR	GB	LR.GB.07	1865.66785481294	718.858647750659
LR	GB	LR.GB.08	1907.02584664238	731.855971198693
LR	GB	LR.GB.09	1839.11517701076	661.662413967964
LR	GB	LR.GB.10	1890.16879783407	689.769141632722
LR	GB	LR.GB.11	1882.61128756217	719.358193202842
LR	GB	LR.GB.12	1870.03101684412	663.282506277918
LR	GB	LR.GB.13	1869.06813194276	709.513290110749
LR	GB	LR.GB.14	1881.83776672143	720.723984685531
LR	GB	LR.GB.15	1920.57355841471	677.759685033786
LR	GB	LR.GB.16	1948.58443530496	681.468218606818
LR	GB	LR.GB.17	1888.18640318629	689.304945446028
LR	GB	LR.GB.18	1877.51718211184	631.332123030508
LR	GB	LR.GB.19	1956.56398715023	753.702223125901
LR	GB	LR.GB.20	1868.6470821952	649.507371757621
LR	GB	LR.GB.21	1965.86779694084	713.825814076607
LR	GB	LR.GB.22	1940.88511663797	733.703371132607
LR	GB	LR.GB.23	1978.76090205466	759.667464991338
LR	GB	LR.GB.24	1909.63055312115	694.509814142742
LR	GB	LR.GB.25	1905.14700434001	729.85025298972
LR	GB	LR.GB.26	1977.64368422149	745.272162159267
LR	GB	LR.GB.27	1895.02074061076	681.717311184145
LR	GB	LR.GB.28	1917.16646933069	725.032647830598
LR	GB	LR.GB.29	1900.41937994141	658.980540214649
LR	GB	LR.GB.30	1959.52815118347	728.007022264042
LR	GB	LR.GB.31	1908.10252857886	742.144893522855
LR	GB	LR.GB.32	1947.83430646318	704.334398700827
LR	GB	LR.GB.33	1938.70309940214	686.463110055194
LR	GB	LR.GB.34	1946.90260964271	716.017899943457
LR	GB	LR.GB.35	1837.40532907493	688.944834786482
LR	GB	LR.GB.36	1865.92793016991	653.861207635431
LR	GB	LR.GB.37	1955.98625203307	614.813543986593
LR	GB	LR.GB.38	1905.82579806183	707.810990520216
LR	GB	LR.GB.39	1898.07882702086	627.391559375054
LR	GB	LR.GB.40	1921.72789270221	701.770559197624
LR	GB	LR.GB.41	1867.58470915028	666.174442644574
LR	GB	LR.GB.42	1895.19918202346	726.202246087478
LR	GB	LR.GB.43	1985.34016802647	735.588006865105
LR	GB	LR.GB.44	1924.59351241331	713.786906920433
LR	GB	LR.GB.45	1889.92559705847	720.813433675551
LR	GB	LR.GB.46	1952.00948396905	688.464634303966
LR	GB	LR.GB.01	1356.00395668643	535.743296727741
LR	GB	LR.GB.02	1287.62669853744	520.505882398561
LR	GB	LR.GB.03	1349.24281859223	482.081002895755
LR	GB	LR.GB.04	1337.89078876541	471.268826397806
LR	GB	LR.GB.05	1348.27549621399	517.479946748466
LR	GB	LR.GB.06	1351.80098528735	448.852169717127
LR	GB	LR.GB.07	1281.48222436441	497.328749204203
LR	GB	LR.GB.08	1286.45527316237	501.221107801352
LR	GB	LR.GB.09	1336.75627853431	470.181826291757
LR	GB	LR.GB.10	1329.59467884222	439.891748095312
LR	GB	LR.GB.11	1314.55534592963	459.765495396757
LR	GB	LR.GB.12	1315.68933120234	447.15970869144
LR	GB	LR.GB.13	1322.396815608	479.36525664313
LR	GB	LR.GB.14	1350.02511602252	486.919031566571
LR	GB	LR.GB.15	1350.84492289845	469.769448741822
LR	GB	LR.GB.16	1332.79124334117	484.49373224905
LR	GB	LR.GB.17	1351.03762842389	662.05012228176
LR	GB	LR.GB.18	1293.72369031517	455.063467178782
LR	GB	LR.GB.19	1305.46044781299	444.642678366306
LR	GB	LR.GB.20	1355.91488505609	481.145069096181
LR	GB	LR.GB.21	1256.65986711908	439.488317095094
LR	GB	LR.GB.22	1309.61500501941	439.526736140335
LR	GB	LR.GB.23	1298.24981875712	447.153635918563
LR	GB	LR.GB.24	1383.05434690533	434.721404320193
LR	GB	LR.GB.25	1322.10742012584	472.163225546555
LR	GB	LR.GB.26	1315.00125042917	439.527441929964
LR	GB	LR.GB.27	1336.97184676923	464.043362009926
LR	GB	LR.GB.28	1309.51432289185	463.673577191078
LR	GB	LR.GB.29	1341.98494427208	465.227298435577
